molecule_chembl_id,split_seed,rf_seed,predicted_pIC50,rank,n_ranked_in_run,in_train_for_split
CHEMBL521470,21,7,5.53238719145457,28,60,False
CHEMBL242741,21,7,5.585606763892704,21,60,False
CHEMBL484121,21,7,5.646662051677704,12,60,False
CHEMBL484321,21,7,5.646662051677704,13,60,False
CHEMBL521472,21,7,5.3757234610111,42,60,False
CHEMBL518986,21,7,5.498530955314636,31,60,False
CHEMBL490266,21,7,5.562194993694623,24,60,False
CHEMBL490267,21,7,5.562194993694623,25,60,False
CHEMBL483526,21,7,5.452844005804213,34,60,False
CHEMBL522082,21,7,5.35216551129708,43,60,False
CHEMBL490773,21,7,5.294642919059784,47,60,False
CHEMBL521184,21,7,5.561934077421824,26,60,False
CHEMBL150,21,7,5.318272550635868,45,60,False
CHEMBL484119,21,7,5.64413853486379,15,60,False
CHEMBL484316,21,7,5.64413853486379,16,60,False
CHEMBL490980,21,7,5.13910095167401,56,60,False
CHEMBL443171,21,7,5.170902147613392,54,60,False
CHEMBL519982,21,7,5.399464919911491,40,60,False
CHEMBL28,21,7,5.27508248503201,51,60,False
CHEMBL2315699,21,7,5.713449750476413,6,60,False
CHEMBL2315697,21,7,5.713449750476413,7,60,False
CHEMBL275638,21,7,5.4398376282859,38,60,False
CHEMBL483830,21,7,5.3088721799850465,46,60,False
CHEMBL2315410,21,7,5.574033579428991,23,60,False
CHEMBL485258,21,7,5.285520721011692,48,60,False
CHEMBL519395,21,7,5.6929675129065425,9,60,False
CHEMBL483831,21,7,5.281044263953254,50,60,False
CHEMBL453504,21,7,5.4341892520586645,39,60,False
CHEMBL485485,21,7,5.446370750268301,35,60,False
CHEMBL463054,21,7,5.282920422932459,49,60,False
CHEMBL2315701,21,7,5.442027948061625,37,60,False
CHEMBL441343,21,7,4.997364519437154,58,60,False
CHEMBL2315698,21,7,5.519657650682661,29,60,False
CHEMBL2315696,21,7,5.519657650682661,30,60,False
CHEMBL2315409,21,7,5.381017075936,41,60,False
CHEMBL489146,21,7,5.1672936144934765,55,60,False
CHEMBL17329,21,7,5.230025285508897,52,60,False
CHEMBL556684,21,7,5.22741284169848,53,60,False
CHEMBL483531,21,7,5.023843487482222,57,60,False
CHEMBL483532,21,7,4.690691729386647,59,60,False
CHEMBL450484,21,7,4.263842383649614,60,60,False
CHEMBL2316916,21,123,6.621279053290685,1,60,False
CHEMBL5614250,21,123,5.89083658419715,5,60,False
CHEMBL5564149,21,123,5.959650658567747,4,60,False
CHEMBL13983,21,123,5.641410836719332,17,60,False
CHEMBL554993,21,123,6.108297162055969,3,60,False
CHEMBL512054,21,123,6.208593878689267,2,60,False
CHEMBL131921,21,123,5.561959991475577,21,60,False
CHEMBL2315700,21,123,5.6763813254568305,13,60,False
CHEMBL4531006,21,123,5.535561956564585,26,60,False
CHEMBL241609,21,123,5.5119204719861346,28,60,False
CHEMBL485475,21,123,5.516498864730199,27,60,False
CHEMBL520144,21,123,5.659859742344056,16,60,False
CHEMBL491174,21,123,5.546497326182625,25,60,False
CHEMBL243664,21,123,5.689121889867137,12,60,False
CHEMBL4539558,21,123,5.473917631308238,32,60,False
CHEMBL490960,21,123,5.394909524751864,38,60,False
CHEMBL483428,21,123,5.423619839573033,37,60,False
CHEMBL489139,21,123,5.28293311070702,49,60,False
CHEMBL483525,21,123,5.4986119208121425,29,60,False
CHEMBL521470,21,123,5.494990052938461,30,60,False
CHEMBL242741,21,123,5.438443094677395,35,60,False
CHEMBL484121,21,123,5.670858824120628,14,60,False
CHEMBL484321,21,123,5.670858824120628,15,60,False
CHEMBL521472,21,123,5.373933256043329,40,60,False
CHEMBL518986,21,123,5.428176401897713,36,60,False
CHEMBL490266,21,123,5.639599037832684,18,60,False
CHEMBL490267,21,123,5.639599037832684,19,60,False
CHEMBL483526,21,123,5.450046597580746,33,60,False
CHEMBL522082,21,123,5.349586071536858,43,60,False
CHEMBL490773,21,123,5.2670974383581255,52,60,False
CHEMBL521184,21,123,5.582655459276583,20,60,False
CHEMBL150,21,123,5.276492982257126,50,60,False
CHEMBL484119,21,123,5.694698563549253,10,60,False
CHEMBL484316,21,123,5.694698563549253,11,60,False
CHEMBL490980,21,123,5.102284815417396,55,60,False
CHEMBL443171,21,123,5.082776122280674,57,60,False
CHEMBL519982,21,123,5.3499161277612055,42,60,False
CHEMBL28,21,123,5.26359285266555,53,60,False
CHEMBL2315699,21,123,5.755487806267208,7,60,False
CHEMBL2315697,21,123,5.755487806267208,8,60,False
CHEMBL275638,21,123,5.362745380079936,41,60,False
CHEMBL483830,21,123,5.323440619309744,45,60,False
CHEMBL2315410,21,123,5.713886578877767,9,60,False
CHEMBL485258,21,123,5.3277442200265375,44,60,False
CHEMBL519395,21,123,5.758539846306755,6,60,False
CHEMBL483831,21,123,5.298232798240124,48,60,False
CHEMBL453504,21,123,5.314957400639853,46,60,False
CHEMBL485485,21,123,5.444773017565409,34,60,False
CHEMBL463054,21,123,5.393448264321322,39,60,False
CHEMBL2315701,21,123,5.549186815420787,24,60,False
CHEMBL441343,21,123,4.930386249224345,58,60,False
CHEMBL2315698,21,123,5.553118231561449,22,60,False
CHEMBL2315696,21,123,5.553118231561449,23,60,False
CHEMBL2315409,21,123,5.475438425938289,31,60,False
CHEMBL489146,21,123,5.161240282138189,54,60,False
CHEMBL17329,21,123,5.2681922017203435,51,60,False
CHEMBL556684,21,123,5.31140454866268,47,60,False
CHEMBL483531,21,123,5.0879299267533025,56,60,False
CHEMBL483532,21,123,4.840878080526988,59,60,False
CHEMBL450484,21,123,4.138224719365438,60,60,False
CHEMBL2316916,21,2024,6.612417704216157,1,60,False
CHEMBL5614250,21,2024,5.8428420578108895,5,60,False
CHEMBL5564149,21,2024,5.874322190284729,4,60,False
CHEMBL13983,21,2024,5.666387774414487,16,60,False
CHEMBL554993,21,2024,6.019591563012865,3,60,False
CHEMBL512054,21,2024,6.129334499571058,2,60,False
CHEMBL131921,21,2024,5.745627679846905,10,60,False
CHEMBL2315700,21,2024,5.826626269382143,6,60,False
CHEMBL4531006,21,2024,5.481832329961989,35,60,False
CHEMBL241609,21,2024,5.565806137058471,26,60,False
CHEMBL485475,21,2024,5.6962823276292704,12,60,False
CHEMBL520144,21,2024,5.637557010606483,17,60,False
CHEMBL491174,21,2024,5.679473254424292,13,60,False
CHEMBL243664,21,2024,5.760274068936205,9,60,False
CHEMBL4539558,21,2024,5.490370942751567,34,60,False
CHEMBL490960,21,2024,5.55194212868857,29,60,False
